time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-10 00:00:00+00:00,65,5,738,54
2023-11-11 00:00:00+00:00,22,9,360,70
2023-11-12 00:00:00+00:00,6,3,166,48
2023-11-13 00:00:00+00:00,56,7,595,54
2023-11-14 00:00:00+00:00,41,5,684,47
2023-11-15 00:00:00+00:00,62,5,855,43
2023-11-16 00:00:00+00:00,109,8,808,63
2023-11-17 00:00:00+00:00,94,10,868,42
2023-11-18 00:00:00+00:00,9,4,154,29
2023-11-19 00:00:00+00:00,6,4,82,25
2023-11-20 00:00:00+00:00,30,3,639,95
2023-11-21 00:00:00+00:00,66,7,660,65
2023-11-22 00:00:00+00:00,43,7,807,45
2023-11-23 00:00:00+00:00,29,5,355,54
2023-11-24 00:00:00+00:00,6,1,9,1
