time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-08 00:00:00+00:00,18,6,205,22
2023-10-09 00:00:00+00:00,80,16,690,63
2023-10-10 00:00:00+00:00,128,22,1272,105
2023-10-11 00:00:00+00:00,53,3,544,52
2023-10-12 00:00:00+00:00,143,5,655,38
2023-10-13 00:00:00+00:00,138,8,677,44
2023-10-14 00:00:00+00:00,46,7,188,24
2023-10-15 00:00:00+00:00,6,2,68,18
2023-10-16 00:00:00+00:00,96,10,813,36
2023-10-17 00:00:00+00:00,45,14,479,52
2023-10-18 00:00:00+00:00,62,9,730,156
2023-10-19 00:00:00+00:00,76,8,400,39
2023-10-20 00:00:00+00:00,38,4,282,43
2023-10-21 00:00:00+00:00,16,2,146,21
